Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2016-03-02,23.832247087930625,24.44966371559719,22.504803767303358,24.14867401123047,4113100,0.0,0
2016-03-03,24.202700824298166,25.429814894920046,24.140959300645733,25.24458885192871,3549000,0.0,0
2016-03-04,25.18994850529641,25.416323095472936,24.346901028445988,24.378124237060547,2530400,0.37,0
2016-03-07,24.222004851045742,24.74500661511523,23.714613946610413,23.995630264282227,2830300,0.0,0
2016-03-08,24.112716245250713,24.190776487090808,23.269668908903295,23.511655807495117,2328500,0.0,0
2016-03-09,23.714614116562778,24.64352801528745,23.542882748352337,24.42496109008789,2594500,0.0,0
2016-03-10,24.45618094732579,24.45618094732579,23.371148177689786,23.76144790649414,2049300,0.0,0
2016-03-11,23.839509951065736,24.26883908963551,23.761449701632483,24.003435134887695,1619300,0.0,0
2016-03-14,24.011242067463137,25.002602353303136,23.98001737115298,24.713781356811523,1730400,0.0,0
2016-03-15,24.59669084892333,24.768422205897295,23.394566883479325,24.026853561401367,2027900,0.0,0
2016-03-16,24.31567402857102,24.986988583412092,24.058076254171166,24.9089298248291,1562400,0.0,0
2016-03-17,25.11968834658273,25.15091303651734,24.2063870102476,24.479597091674805,3050200,0.0,0
2016-03-18,24.651331334753962,25.205557735630297,24.03465852437433,24.065881729125977,5542700,0.0,0
2016-03-21,24.136138924426017,24.713782431401462,23.45701663890559,24.081497192382812,3358700,0.0,0
2016-03-22,24.00343218471932,24.034656876205084,23.4257887921098,23.558490753173828,2175000,0.0,0
2016-03-23,23.558495659861254,24.050272742185896,23.457016880272082,23.706809997558594,1969200,0.0,0
2016-03-24,23.683387756743784,23.808283551345735,23.113550507762962,23.628746032714844,4488100,0.0,0
2016-03-28,22.598358161740407,24.159557302755275,22.169027504636002,23.48824119567871,8247200,0.0,0
2016-03-29,23.558493826266062,24.924542990582843,23.41798567400198,24.596691131591797,3802500,0.0,0
2016-03-30,24.643525281906285,24.955764775326987,24.198583817672365,24.791839599609375,2522100,0.0,0
2016-03-31,24.87770802862779,25.314843354735213,24.721587524865978,24.768423080444336,2094000,0.0,0
2016-04-01,24.768422596435983,24.791841118205266,23.972210722785633,24.4639892578125,2135100,0.0,0
